,freq,citizen,sex,unit,age,asyl_app,geo,year,applications
271,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,BE,2015,
272,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,BG,2015,
273,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,CH,2015,
274,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,CY,2015,
275,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,CZ,2015,
276,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,DE,2015,
277,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,DK,2015,
278,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,EE,2015,
279,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,EL,2015,
280,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,ES,2015,
282,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,FI,2015,
283,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,FR,2015,
284,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,HR,2015,
285,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,HU,2015,
286,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,IE,2015,
287,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,IS,2015,
288,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,IT,2015,
289,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,LI,2015,
290,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,LT,2015,
291,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,LU,2015,
292,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,LV,2015,
293,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,ME,2015,
294,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,MT,2015,
295,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,NL,2015,
296,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,NO,2015,
297,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,PL,2015,
298,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,PT,2015,
299,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,RO,2015,
300,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,SE,2015,
301,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,SI,2015,
302,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,SK,2015,
303,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,AT,2016,42255.0
304,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BE,2016,18280.0
305,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BG,2016,19420.0
306,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CH,2016,27140.0
307,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CY,2016,2940.0
308,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CZ,2016,1475.0
309,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,DE,2016,745160.0
310,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,DK,2016,6180.0
311,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,EE,2016,175.0
312,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,EL,2016,51110.0
313,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,ES,2016,15755.0
315,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,FI,2016,5605.0
316,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,FR,2016,84270.0
317,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,HR,2016,2225.0
318,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,HU,2016,29430.0
319,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,IE,2016,2245.0
320,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,IS,2016,1125.0
321,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,IT,2016,122960.0
322,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LI,2016,80.0
323,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LT,2016,430.0
324,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LU,2016,2160.0
325,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LV,2016,350.0
